1,ragdoll,Oxford
2,exotic-shorthair,Google Images
3,british-shorthair,Oxford
4,persian,Oxford
5,maine-coon,Oxford
6,american-shorthair,Google Images
7,devon-rex,Google Images
8,sphynx,Oxford
9,scottish-fold,Google Images
10,abyssinian,Oxford
11,oriental,Google Images
13,siamese,Oxford
14,norwegian-forest-cat,Google Images
15,cornish-rex,Google Images
16,bengal,Oxford
17,russian-blue,Oxford
18,siberian,Google Images
19,burmese,Google Images
20,birman,Oxford
21,tonkinese,Google Images
22,ocicat,Google Images
23,selkirk-rex,Google Images
24,ragamuffin,Google Images
25,american-curl,Google Images
28,egyptian-mau,Oxford
37,bombay,Oxford